,0
0,151.47
1,151.45
2,151.52
3,151.27
4,150.8
5,150.69
6,153.89
7,154.67
8,152.88
9,153.82
10,154.42
11,155.14
12,155.75
13,156.2
14,156.87
15,157.57
16,158.06
17,158.59
18,159.27
19,159.92
20,160.51
21,161.17
22,161.88
23,162.44
24,162.98
25,163.7
26,164.41
27,164.99
28,165.69
29,166.45
30,167.09
31,167.75
32,168.53
33,169.31
34,169.91
35,170.54
36,171.31
37,172.06
38,172.73
39,173.56
40,174.3
41,174.83
42,175.58
43,176.42
44,177.19
45,177.9
46,178.67
47,179.52
48,180.18
49,180.93
50,181.83
51,182.63
52,183.31
53,184.06
54,184.86
55,185.54
56,186.16
57,186.88
58,187.54
59,187.96
60,188.29
61,188.69
62,189.1
63,189.36
64,189.59
65,189.88
66,190.12
67,190.17
68,190.31
69,190.52
70,190.63
71,190.71
72,190.89
73,191.02
74,190.94
75,190.93
76,191.04
77,191.09
78,191.06
79,191.19
80,191.3
81,191.19
82,191.15
83,191.24
84,191.33
85,191.33
86,191.41
87,191.48
88,191.36
89,191.25
90,191.27
91,191.36
92,191.38
93,191.41
94,191.38
95,191.41
96,191.43
97,191.38
98,191.38
99,191.44
100,191.46
101,191.34
102,191.38
103,191.44
104,191.38
105,191.34
106,191.34
107,191.41
108,191.41
109,191.38
110,191.47
111,191.49
112,191.36
113,191.41
114,191.51
115,191.41
116,191.36
117,191.44
118,191.46
119,191.38
120,191.41
121,191.44
122,191.39
123,191.38
124,191.39
125,191.43
126,191.41
127,191.41
128,191.44
129,191.41
130,191.39
131,191.44
132,191.44
133,191.41
134,191.38
135,191.41
136,191.43
137,191.38
138,191.39
139,191.35
140,191.32
141,191.39
142,191.36
143,191.31
144,191.34
145,191.35
146,191.32
147,191.32
148,191.35
149,191.31
150,191.27
151,191.35
152,191.31
153,191.24
154,191.31
155,191.34
156,191.27
157,191.27
158,191.28
159,191.25
160,191.25
161,191.33
162,191.38
163,191.31
164,191.27
165,191.31
166,191.32
167,191.13
168,187.63
169,172.88
170,161.47
171,161.82
172,162.52
173,163.11
174,163.6
175,164.15
176,164.73
177,165.21
178,165.78
179,166.43
180,167.0
181,167.56
182,168.17
183,168.77
184,169.33
185,169.88
186,170.52
187,171.14
188,171.6
189,172.18
190,172.87
191,173.43
192,173.99
193,174.71
194,175.31
195,175.77
196,176.42
197,177.15
198,177.8
199,178.41
200,179.09
201,179.75
202,180.3
203,180.91
204,181.6
205,182.27
206,182.94
207,183.58
208,184.2
209,184.84
210,185.43
211,186.09
212,186.72
213,187.2
214,187.65
215,188.02
216,188.31
217,188.56
218,188.91
219,189.27
220,189.44
221,189.57
222,189.79
223,189.96
224,190.04
225,190.17
226,190.39
227,190.52
228,190.46
229,190.52
230,190.72
231,190.77
232,190.78
233,190.91
234,191.03
235,191.03
236,191.06
237,191.19
238,191.23
239,191.15
240,191.27
241,191.38
242,191.25
243,191.2
244,191.27
245,191.33
246,191.32
247,191.36
248,191.39
249,191.38
250,191.35
251,191.38
252,191.44
253,191.46
254,191.41
255,191.41
256,191.41
257,191.39
258,191.38
259,191.39
260,191.49
261,191.48
262,191.41
263,191.43
264,191.44
265,191.41
266,191.38
267,191.41
268,191.39
269,191.36
270,191.38
271,191.39
272,191.38
273,191.41
274,191.44
275,191.46
276,191.41
277,191.38
278,191.41
279,191.39
280,191.38
281,191.44
282,191.44
283,191.39
284,191.38
285,191.39
286,191.41
287,191.39
288,191.38
289,191.41
290,191.43
291,191.39
292,191.38
293,191.44
294,191.43
295,191.38
296,191.46
297,191.46
298,191.41
299,191.38
300,191.43
301,191.44
302,191.36
303,191.38
304,191.44
305,191.43
306,191.38
307,191.36
308,191.41
309,191.41
310,191.39
311,191.38
312,191.38
313,191.35
314,191.32
315,191.34
316,191.34
317,191.28
318,191.23
319,191.27
320,191.3
321,191.25
322,191.3
323,191.33
324,191.3
325,191.28
326,191.31
327,191.32
328,191.3
329,191.33
330,191.43
331,191.41
332,191.34
333,191.36
334,191.41
335,191.38
336,191.34
337,191.38
338,191.38
339,191.34
340,191.33
341,191.39
342,191.44
343,191.36
344,191.39
345,191.44
346,191.38
347,191.35
348,191.38
349,191.43
350,191.36
351,191.38
352,191.43
353,191.38
354,191.34
355,191.34
356,191.44
357,191.44
358,191.36
359,191.36
360,191.41
361,191.34
362,191.28
363,191.35
364,191.32
365,191.27
366,191.3
367,191.3
368,191.33
369,191.28
370,191.3
371,191.36
372,191.31
373,191.23
374,191.32
375,191.34
376,191.27
377,191.25
378,191.36
379,191.39
380,191.31
381,191.28
382,191.32
383,191.32
384,191.25
385,191.25
386,191.36
387,191.34
388,191.28
389,191.34
390,191.36
391,191.3
392,191.34
393,191.41
394,191.34
395,191.3
396,191.27
397,191.33
398,191.3
399,191.28
400,191.36
401,191.35
402,191.32
403,191.24
404,191.25
405,191.3
406,191.33
407,191.31
408,191.32
409,191.34
410,191.32
411,191.31
412,191.28
413,191.31
414,191.36
415,191.32
416,191.27
417,191.27
418,191.27
419,191.25
420,191.32
421,191.33
422,191.27
423,191.3
424,191.3
425,191.22
426,191.24
427,191.32
428,191.27
429,191.25
430,191.31
431,191.28
432,191.25
433,191.31
434,191.35
435,191.3
436,191.24
437,191.23
438,191.27
439,191.27
440,191.24
441,191.38
442,191.34
443,191.27
444,191.32
445,191.3
446,191.34
447,191.38
448,191.34
449,191.32
450,191.27
451,191.25
452,191.25
453,191.27
454,191.3
455,191.31
456,191.27
457,191.25
458,191.24
459,191.24
460,191.25
461,191.28
462,191.3
463,191.3
464,191.28
465,191.2
466,191.2
467,191.27
468,191.27
469,191.22
470,191.23
471,191.3
472,191.24
473,191.2
474,191.32
475,191.33
476,191.23
477,191.23
478,191.28
479,191.27
480,191.25
481,191.34
482,191.38
483,191.25
484,191.24
485,191.3
486,191.28
487,191.27
488,191.28
489,191.33
490,191.3
491,191.23
492,191.24
493,191.31
494,191.24
495,191.2
496,191.31
497,191.32
498,191.28
499,191.19
500,191.19
501,191.31
502,191.3
503,191.27
504,191.32
505,191.33
506,191.31
507,191.31
508,191.38
509,191.43
510,191.34
511,191.35
512,191.41
513,191.38
514,191.41
515,191.39
516,191.34
517,191.34
518,191.38
519,191.39
520,191.32
521,191.3
522,191.34
523,191.36
524,191.31
525,191.28
526,191.27
527,191.28
528,191.3
529,191.31
530,191.33
531,191.22
532,191.19
533,191.28
534,191.33
535,191.3
536,191.27
537,191.31
538,191.32
539,191.25
540,191.19
541,191.32
542,191.35
543,191.27
544,191.22
545,191.31
546,191.33
547,191.23
548,191.3
549,191.33
550,191.25
551,191.23
552,191.28
553,191.3
554,191.25
555,191.33
556,191.35
557,191.33
558,191.3
559,191.33
560,191.38
561,191.33
562,191.3
563,191.32
564,191.32
565,191.31
566,191.33
567,191.34
568,191.31
569,191.25
570,191.3
571,191.34
572,191.28
573,191.27
574,191.3
575,191.35
576,191.33
577,191.27
578,191.31
579,191.32
580,191.28
581,191.27
582,191.31
583,191.31
584,191.32
585,191.35
586,191.35
587,191.32
588,191.28
589,191.34
590,191.38
591,191.34
592,191.28
593,191.32
594,191.32
595,191.28
596,191.34
597,191.34
598,191.32
599,191.34
600,191.32
601,191.3
602,191.27
603,191.33
604,191.38
605,191.36
606,191.35
607,191.38
608,191.34
609,191.27
610,191.31
611,191.35
612,191.36
613,191.32
614,191.32
615,191.36
616,191.32
617,191.33
618,191.38
619,191.33
620,191.28
621,191.31
622,191.34
623,191.35
624,191.32
625,191.36
626,191.38
627,191.33
628,191.33
629,191.34
630,191.32
631,191.32
632,191.28
633,191.27
634,191.32
635,191.27
636,191.22
637,191.32
638,191.3
639,191.25
640,191.28
641,191.27
642,191.27
643,191.23
644,191.3
645,191.38
646,191.28
647,191.23
648,191.31
649,191.31
650,191.27
651,191.28
652,191.3
653,191.28
654,191.28
655,191.28
656,191.24
657,191.22
658,191.25
659,191.3
660,191.27
661,191.23
662,191.25
663,191.24
664,191.25
665,191.27
666,191.27
667,191.27
668,191.28
669,191.25
670,191.25
671,191.27
672,191.25
673,191.32
674,191.32
675,191.25
676,191.2
677,191.2
678,191.31
679,191.38
680,191.33
681,191.24
682,191.25
683,191.24
684,191.22
685,191.28
686,191.31
687,191.27
688,191.27
689,191.27
690,191.28
691,191.23
692,191.25
693,191.3
694,191.27
695,191.27
696,191.34
697,191.36
698,191.33
699,191.38
700,191.44
701,191.36
702,191.31
703,191.32
704,191.34
705,191.34
706,191.35
707,191.43
708,191.41
709,191.35
710,191.34
711,191.3
712,191.3
713,191.27
714,191.31
715,191.35
716,191.27
717,191.25
718,191.3
719,191.31
720,191.33
721,191.28
722,191.23
723,191.28
724,191.28
725,191.27
726,191.27
727,191.3
728,191.34
729,191.33
730,191.34
731,191.35
732,191.33
733,191.38
734,191.46
735,191.39
736,191.38
737,191.38
738,191.34
739,191.34
740,191.38
741,191.38
742,191.35
743,191.36
744,191.38
745,191.36
746,191.31
747,191.35
748,191.38
749,191.31
750,191.34
751,191.36
752,191.35
753,191.38
754,191.35
755,191.34
756,191.32
757,191.32
758,191.33
759,191.28
760,191.25
761,191.24
762,191.27
763,191.25
764,191.24
765,191.2
766,191.22
767,191.28
768,191.25
769,191.27
770,191.27
771,191.27
772,191.23
773,191.19
774,191.27
775,191.28
776,191.31
777,191.35
778,191.34
779,191.31
780,191.35
781,191.38
782,191.35
783,191.3
784,191.32
785,191.35
786,191.38
787,191.36
788,191.38
789,191.46
790,191.36
791,191.24
792,191.3
793,191.33
794,191.22
795,191.24
796,191.31
797,191.24
798,191.22
799,191.27
800,191.3
801,191.25
802,191.27
803,191.3
804,191.28
805,191.24
806,191.24
807,191.25
808,191.25
809,191.27
810,191.27
811,191.3
812,191.28
813,191.22
814,191.27
815,191.3
816,191.27
817,191.27
818,191.27
819,191.28
820,191.25
821,191.23
822,191.27
823,191.3
824,191.22
825,191.17
826,191.27
827,191.24
828,191.23
829,191.35
830,191.34
831,191.2
832,191.2
833,191.36
834,191.3
835,191.23
836,191.33
837,191.33
838,191.27
839,191.24
840,191.28
841,191.27
842,191.25
843,191.3
844,191.3
845,191.28
846,191.27
847,191.2
848,191.23
849,191.31
850,191.3
851,191.28
852,191.28
853,191.22
854,191.2
855,191.33
856,191.39
857,191.36
858,191.35
859,191.38
860,191.36
861,191.3
862,191.34
863,191.44
864,191.38
865,191.28
866,191.36
867,191.41
868,191.36
869,191.36
870,191.41
871,191.41
872,191.33
873,191.32
874,191.39
875,191.38
876,191.31
877,191.35
878,191.39
879,191.33
880,191.32
881,191.34
882,191.33
883,191.36
884,191.41
885,191.41
886,191.39
887,191.36
888,191.33
889,191.35
890,191.39
891,191.43
892,191.38
893,191.41
894,191.38
895,191.33
896,191.41
897,191.43
898,191.35
899,191.35
900,191.41
901,191.41
902,191.35
903,191.27
904,191.31
905,191.28
906,191.27
907,191.25
908,191.23
909,191.27
910,191.3
911,191.31
912,191.28
913,191.27
914,191.28
915,191.34
916,191.27
917,191.24
918,191.34
919,191.38
920,191.32
921,191.31
922,191.38
923,191.38
924,191.32
925,191.38
926,191.38
927,191.33
928,191.33
929,191.33
930,191.39
931,191.41
932,191.32
933,191.31
934,191.27
935,191.09
936,190.91
937,190.92
938,189.92
939,186.96
940,184.54
941,183.35
942,182.09
943,180.96
944,179.94
945,178.81
946,177.67
947,176.68
948,175.68
949,174.64
950,173.8
951,172.97
952,171.95
953,171.06
954,170.3
955,169.47
956,168.64
957,167.94
958,167.26
959,166.43
960,165.73
961,165.14
962,164.49
963,163.91
964,163.41
965,162.82
966,162.16
967,161.64
968,161.18
969,160.63
970,160.15
971,159.75
972,159.27
973,158.79
974,158.48
975,158.12
976,157.7
977,157.39
978,157.01
979,156.58
980,156.3
981,156.07
982,155.79
983,155.5
984,155.23
985,154.91
986,154.61
987,154.39
988,154.12
989,153.86
990,153.66
991,153.45
992,153.16
993,152.92
994,152.78
995,152.59
996,152.37
997,152.16
998,151.97
999,151.79
1000,151.69
1001,151.54
1002,151.27
1003,151.14
1004,151.04
1005,150.81
1006,150.73
1007,150.62
1008,150.41
1009,150.27
1010,150.19
1011,150.09
1012,149.95
1013,149.81
1014,149.63
1015,149.44
1016,149.39
1017,149.31
1018,149.13
1019,149.05
1020,148.99
1021,148.88
1022,148.81
1023,148.75
1024,148.68
1025,148.56
1026,148.47
1027,148.42
1028,148.28
1029,148.23
1030,148.28
1031,148.15
1032,148.05
1033,148.02
1034,147.97
1035,147.93
1036,147.88
1037,147.74
1038,147.61
1039,147.62
1040,147.59
1041,147.53
1042,147.53
1043,147.48
1044,147.39
1045,147.34
1046,147.37
1047,147.29
1048,147.27
1049,147.31
1050,147.19
1051,147.15
1052,147.15
1053,147.1
1054,147.13
1055,147.13
1056,147.09
1057,146.99
1058,146.97
1059,147.0
1060,146.91
1061,146.83
1062,146.78
1063,146.67
1064,146.63
1065,146.69
1066,146.61
1067,146.54
1068,146.61
1069,146.57
1070,146.51
1071,146.53
1072,146.56
1073,146.46
1074,146.45
1075,146.51
1076,146.46
1077,146.54
1078,146.61
1079,146.48
1080,146.4
1081,146.48
1082,146.51
1083,146.46
1084,146.48
1085,146.41
1086,146.33
1087,146.48
1088,146.41
1089,146.27
1090,146.32
1091,146.35
1092,146.31
1093,146.37
1094,146.44
1095,146.35
1096,146.32
1097,146.37
1098,146.32
1099,146.32
1100,146.38
1101,146.37
1102,146.33
1103,146.32
1104,146.35
1105,146.34
1106,146.32
1107,146.35
1108,146.32
1109,146.3
1110,146.38
1111,146.31
1112,146.27
1113,146.34
1114,146.27
1115,146.22
1116,146.35
1117,146.38
1118,146.27
1119,146.3
1120,146.32
1121,146.24
1122,146.27
1123,146.32
1124,146.24
1125,146.19
1126,146.15
1127,146.16
1128,146.24
1129,146.29
1130,146.23
1131,146.18
1132,146.23
1133,146.29
1134,146.27
1135,146.22
1136,146.21
1137,146.18
1138,146.22
1139,146.27
1140,146.22
1141,146.16
1142,146.15
1143,146.13
1144,146.13
1145,146.24
1146,146.21
1147,146.08
1148,146.09
1149,146.16
1150,146.13
1151,146.13
1152,146.16
1153,146.09
1154,146.07
1155,146.16
1156,146.16
1157,146.15
1158,146.21
1159,146.15
1160,146.11
1161,146.16
1162,146.18
1163,146.21
1164,146.23
1165,146.18
1166,146.07
1167,146.07
1168,146.16
1169,146.13
1170,146.07
1171,146.07
1172,146.11
1173,146.16
1174,146.18
1175,146.19
1176,146.13
1177,146.16
1178,146.19
1179,146.13
1180,146.19
1181,146.29
1182,146.2
1183,146.15
1184,146.18
1185,146.13
1186,146.13
1187,146.23
1188,146.2
1189,146.11
1190,146.18
1191,146.19
1192,146.15
1193,146.2
1194,146.19
1195,146.09
1196,146.13
1197,146.18
1198,146.19
1199,146.13
1200,146.13
1201,146.15
1202,146.11
1203,146.16
1204,146.13
1205,146.05
1206,146.07
1207,146.06
1208,145.98
1209,146.02
1210,146.13
1211,146.07
1212,146.03
1213,146.07
1214,146.03
1215,146.07
1216,146.16
1217,146.15
1218,146.02
1219,146.02
1220,146.05
1221,145.98
1222,146.03
1223,146.08
1224,145.98
1225,146.02
1226,146.06
1227,146.02
1228,146.02
1229,146.06
1230,146.02
1231,146.0
1232,146.06
1233,146.06
1234,146.06
1235,146.11
1236,146.13
1237,146.05
1238,146.05
1239,146.11
1240,146.1
1241,146.08
1242,146.11
1243,146.08
1244,146.02
1245,146.07
1246,146.11
1247,146.05
1248,146.07
1249,146.09
1250,146.0
1251,146.05
1252,146.11
1253,146.05
1254,146.03
1255,146.1
1256,146.05
1257,146.06
1258,146.16
1259,146.1
1260,145.98
1261,146.06
1262,146.16
1263,146.13
1264,146.1
1265,146.1
1266,146.09
1267,146.13
1268,146.18
1269,146.1
1270,146.08
1271,146.13
1272,146.13
1273,146.09
1274,146.13
1275,146.09
1276,146.02
1277,146.08
1278,146.09
1279,146.02
1280,146.05
1281,146.08
1282,146.02
1283,146.03
1284,146.13
1285,146.13
1286,146.1
1287,146.09
1288,146.07
1289,146.06
1290,146.11
1291,146.15
1292,146.05
1293,146.08
1294,146.13
1295,146.06
1296,146.13
1297,146.18
1298,146.13
1299,146.05
1300,146.05
1301,146.1
1302,146.08
1303,146.1
1304,146.05
1305,145.97
1306,146.05
1307,146.08
1308,146.0
1309,145.99
1310,146.02
1311,146.0
1312,145.98
1313,146.02
1314,145.98
1315,145.99
1316,146.09
1317,146.08
1318,146.02
1319,146.1
1320,146.16
1321,146.03
1322,146.03
1323,146.11
1324,146.13
1325,146.15
1326,146.16
1327,146.11
1328,146.08
1329,146.1
1330,146.11
1331,146.1
1332,146.1
1333,146.03
1334,145.94
1335,146.0
1336,146.11
1337,146.05
1338,145.98
1339,146.02
1340,145.96
1341,145.99
1342,146.09
1343,146.03
1344,145.97
1345,146.03
1346,146.0
1347,145.96
1348,146.05
1349,146.1
1350,146.06
1351,146.03
1352,146.05
1353,146.02
1354,146.07
1355,146.13
1356,146.03
1357,145.98
1358,146.05
1359,146.02
1360,146.02
1361,146.08
1362,146.05
1363,145.92
1364,145.92
1365,145.96
1366,145.96
1367,145.97
1368,146.0
1369,145.97
1370,145.94
1371,145.99
1372,145.98
1373,145.91
1374,145.98
1375,146.02
1376,145.94
1377,145.99
1378,146.03
1379,146.02
1380,146.08
1381,146.1
1382,146.09
1383,146.09
1384,146.16
1385,146.11
1386,146.02
1387,146.06
1388,146.03
1389,145.99
1390,146.11
1391,146.13
1392,145.97
1393,145.94
1394,146.07
1395,146.13
1396,146.13
1397,146.19
1398,146.13
1399,146.06
1400,146.18
1401,146.18
1402,146.13
1403,146.2
1404,146.16
1405,146.13
1406,146.18
1407,146.18
1408,146.16
1409,146.19
1410,146.16
1411,146.06
1412,146.03
1413,146.11
1414,146.06
1415,146.0
1416,146.05
1417,146.03
1418,146.02
1419,146.07
1420,146.03
1421,145.94
1422,145.96
1423,146.02
1424,145.99
1425,146.0
1426,146.08
1427,146.0
1428,145.94
1429,146.03
1430,146.07
1431,146.07
1432,146.1
1433,146.07
1434,145.99
1435,146.03
1436,146.13
1437,146.03
1438,146.0
1439,146.08
1440,146.06
1441,146.02
1442,146.05
1443,145.99
1444,145.94
1445,145.98
1446,145.99
1447,145.98
1448,146.02
1449,146.02
1450,145.92
1451,145.94
1452,146.05
1453,146.06
1454,146.03
1455,146.02
1456,145.99
1457,146.0
1458,146.07
1459,146.05
1460,146.0
1461,146.03
1462,146.0
1463,145.94
1464,146.03
1465,146.09
1466,145.98
1467,146.02
1468,146.08
1469,146.05
1470,146.02
1471,146.06
1472,145.97
1473,145.91
1474,145.99
1475,146.0
1476,145.97
1477,145.99
1478,146.0
1479,145.98
1480,146.03
1481,146.06
1482,146.0
1483,145.99
1484,146.05
1485,146.06
1486,146.03
1487,146.09
1488,146.09
1489,146.0
1490,146.03
1491,146.03
1492,145.97
1493,146.02
1494,146.03
1495,145.91
1496,145.91
1497,146.02
1498,146.02
1499,146.03
1500,146.07
1501,145.94
