"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1005.190002,1005.190002,1005.190002,956.48999,996.099976,1006.01001,1014.469971,1026.689941
"2",1005.190002,1005.190002,956.48999,996.099976,1006.01001,1014.469971,1026.689941,987.52002
"3",1005.190002,956.48999,996.099976,1006.01001,1014.469971,1026.689941,987.52002,986.890015
"4",956.48999,996.099976,1006.01001,1014.469971,1026.689941,987.52002,986.890015,965.77002
"5",996.099976,1006.01001,1014.469971,1026.689941,987.52002,986.890015,965.77002,974.460022
"6",1006.01001,1014.469971,1026.689941,987.52002,986.890015,965.77002,974.460022,952.460022
"7",1014.469971,1026.689941,987.52002,986.890015,965.77002,974.460022,952.460022,1003.130005
"8",1026.689941,987.52002,986.890015,965.77002,974.460022,952.460022,1003.130005,980.179993
"9",987.52002,986.890015,965.77002,974.460022,952.460022,1003.130005,980.179993,960.440002
"10",986.890015,965.77002,974.460022,952.460022,1003.130005,980.179993,960.440002,949.23999
"11",965.77002,974.460022,952.460022,1003.130005,980.179993,960.440002,949.23999,966.47998
"12",974.460022,952.460022,1003.130005,980.179993,960.440002,949.23999,966.47998,962.630005
"13",952.460022,1003.130005,980.179993,960.440002,949.23999,966.47998,962.630005,968.26001
"14",1003.130005,980.179993,960.440002,949.23999,966.47998,962.630005,968.26001,959.669983
"15",980.179993,960.440002,949.23999,966.47998,962.630005,968.26001,959.669983,937.76001
"16",960.440002,949.23999,966.47998,962.630005,968.26001,959.669983,937.76001,936
"17",949.23999,966.47998,962.630005,968.26001,959.669983,937.76001,936,951.5
"18",966.47998,962.630005,968.26001,959.669983,937.76001,936,951.5,955.669983
"19",962.630005,968.26001,959.669983,937.76001,936,951.5,955.669983,972.190002
"20",968.26001,959.669983,937.76001,936,951.5,955.669983,972.190002,990.219971
"21",959.669983,937.76001,936,951.5,955.669983,972.190002,990.219971,979.380005
"22",937.76001,936,951.5,955.669983,972.190002,990.219971,979.380005,986.950012
"23",936,951.5,955.669983,972.190002,990.219971,979.380005,986.950012,983.309998
"24",951.5,955.669983,972.190002,990.219971,979.380005,986.950012,983.309998,997.140015
"25",955.669983,972.190002,990.219971,979.380005,986.950012,983.309998,997.140015,1024.689941
"26",972.190002,990.219971,979.380005,986.950012,983.309998,997.140015,1024.689941,1033.48999
"27",990.219971,979.380005,986.950012,983.309998,997.140015,1024.689941,1033.48999,1049.349976
"28",979.380005,986.950012,983.309998,997.140015,1024.689941,1033.48999,1049.349976,1055.77002
"29",986.950012,983.309998,997.140015,1024.689941,1033.48999,1049.349976,1055.77002,1053.27002
"30",983.309998,997.140015,1024.689941,1033.48999,1049.349976,1055.77002,1053.27002,1051.939941
"31",997.140015,1024.689941,1033.48999,1049.349976,1055.77002,1053.27002,1051.939941,1046.780029
"32",1024.689941,1033.48999,1049.349976,1055.77002,1053.27002,1051.939941,1046.780029,1059.47998
"33",1033.48999,1049.349976,1055.77002,1053.27002,1051.939941,1046.780029,1059.47998,1069.030029
"34",1049.349976,1055.77002,1053.27002,1051.939941,1046.780029,1059.47998,1069.030029,1069.900024
"35",1055.77002,1053.27002,1051.939941,1046.780029,1059.47998,1069.030029,1069.900024,1091.589966
"36",1053.27002,1051.939941,1046.780029,1059.47998,1069.030029,1069.900024,1091.589966,1079.400024
"37",1051.939941,1046.780029,1059.47998,1069.030029,1069.900024,1091.589966,1079.400024,1083.339966
"38",1046.780029,1059.47998,1069.030029,1069.900024,1091.589966,1079.400024,1083.339966,1087.319946
"39",1059.47998,1069.030029,1069.900024,1091.589966,1079.400024,1083.339966,1087.319946,1080.439941
"40",1069.030029,1069.900024,1091.589966,1079.400024,1083.339966,1087.319946,1080.439941,1082.23999
"41",1069.900024,1091.589966,1079.400024,1083.339966,1087.319946,1080.439941,1082.23999,1075.130005
"42",1091.589966,1079.400024,1083.339966,1087.319946,1080.439941,1082.23999,1075.130005,1077.369995
"43",1079.400024,1083.339966,1087.319946,1080.439941,1082.23999,1075.130005,1077.369995,1079.420044
"44",1083.339966,1087.319946,1080.439941,1082.23999,1075.130005,1077.369995,1079.420044,1078.619995
"45",1087.319946,1080.439941,1082.23999,1075.130005,1077.369995,1079.420044,1078.619995,1082.540039
"46",1080.439941,1082.23999,1075.130005,1077.369995,1079.420044,1078.619995,1082.540039,1073.449951
"47",1082.23999,1075.130005,1077.369995,1079.420044,1078.619995,1082.540039,1073.449951,1071.890015
"48",1075.130005,1077.369995,1079.420044,1078.619995,1082.540039,1073.449951,1071.890015,1088.130005
"49",1077.369995,1079.420044,1078.619995,1082.540039,1073.449951,1071.890015,1088.130005,1098.76001
"50",1079.420044,1078.619995,1082.540039,1073.449951,1071.890015,1088.130005,1098.76001,1104.27002
"51",1078.619995,1082.540039,1073.449951,1071.890015,1088.130005,1098.76001,1104.27002,1123.27002
"52",1082.540039,1073.449951,1071.890015,1088.130005,1098.76001,1104.27002,1123.27002,1111.619995
"53",1073.449951,1071.890015,1088.130005,1098.76001,1104.27002,1123.27002,1111.619995,1107.099976
"54",1071.890015,1088.130005,1098.76001,1104.27002,1123.27002,1111.619995,1107.099976,1116.109985
"55",1088.130005,1098.76001,1104.27002,1123.27002,1111.619995,1107.099976,1116.109985,1100.449951
"56",1098.76001,1104.27002,1123.27002,1111.619995,1107.099976,1116.109985,1100.449951,1065.709961
"57",1104.27002,1123.27002,1111.619995,1107.099976,1116.109985,1100.449951,1065.709961,1037.26001
"58",1123.27002,1111.619995,1107.099976,1116.109985,1100.449951,1065.709961,1037.26001,1062.329956
"59",1111.619995,1107.099976,1116.109985,1100.449951,1065.709961,1037.26001,1062.329956,1066.5
"60",1107.099976,1116.109985,1100.449951,1065.709961,1037.26001,1062.329956,1066.5,1062.329956
"61",1116.109985,1100.449951,1065.709961,1037.26001,1062.329956,1066.5,1062.329956,1062.329956
"62",1100.449951,1065.709961,1037.26001,1062.329956,1066.5,1062.329956,1062.329956,1062.329956
"63",1065.709961,1037.26001,1062.329956,1066.5,1062.329956,1062.329956,1062.329956,1063.280029
"64",1037.26001,1062.329956,1066.5,1062.329956,1062.329956,1062.329956,1063.280029,1073.02002
"65",1062.329956,1066.5,1062.329956,1062.329956,1062.329956,1063.280029,1073.02002,1081.900024
"66",1066.5,1062.329956,1062.329956,1062.329956,1063.280029,1073.02002,1081.900024,1078.410034
"67",1062.329956,1062.329956,1062.329956,1063.280029,1073.02002,1081.900024,1078.410034,1088.23999
"68",1062.329956,1062.329956,1063.280029,1073.02002,1081.900024,1078.410034,1088.23999,1102.329956
"69",1062.329956,1063.280029,1073.02002,1081.900024,1078.410034,1088.23999,1102.329956,1094.119995
